step,experiment_time_s,replay_horizon_steps,one_step_error_x,one_step_error_dx,one_step_error_theta,one_step_error_wb,replay_error_x,replay_error_dx,replay_error_theta,replay_error_wb,control_internal_0,control_internal_near_lower_0,control_internal_near_upper_0,control_internal_1,control_internal_near_lower_1,control_internal_near_upper_1,control_internal_2,control_internal_near_lower_2,control_internal_near_upper_2,control_internal_3,control_internal_near_lower_3,control_internal_near_upper_3
39,0.468869662,10,0.0002539169248147021,0.0022834481143803424,7.18845582202034e-05,0.0018036370335578788,0.0027233165313767294,0.022082672140777054,0.0006944509095234454,0.006329193572093066,-0.8118511796740692,False,False,-0.0038757656930236677,False,False,0.005267048716660563,False,False,7.284518046936272e-05,False,False
40,0.475540419,10,0.0002431356509847502,0.0021482550950030414,6.714978900206541e-05,0.0013580711128792873,0.0026861430958270765,0.021824227879528764,0.0007768479699976625,0.01109836939717814,-0.8293051479531001,False,False,-0.006342532629086056,False,False,0.003742540260614902,False,False,0.00030466747900479856,False,False
41,0.482979746,10,0.0002571807598023446,0.002158915813395311,7.490967922424903e-05,0.0018790221307300496,0.0026888496378116578,0.022059115404515665,0.0007135661375691923,0.010274260457906753,-0.8295816340522644,False,False,-0.0054024968984442544,False,False,0.0042686303551174015,False,False,0.00033311421141178144,False,False
42,0.489742374,10,0.0002369278647840098,0.0022377093168888538,7.602943285516768e-05,0.0009624627247333391,0.002651084046057711,0.02243131912867915,0.0007064995886937815,0.006815319273351467,-0.8134020147075247,False,False,-0.00416771981070976,False,False,0.006824269929091547,False,False,6.137625581770395e-05,False,False
43,0.501816089,10,0.0002229415249902895,0.0023132277980452112,6.87309153452004e-05,0.0007030161571113629,0.002693874839473258,0.02249348722570421,0.0006813183132424824,0.00837270235725529,-0.8041898140283819,False,False,-0.0039109022510777705,False,False,0.006011598749516106,False,False,0.00022134412764609628,False,False
44,0.510825246,10,0.00023203384395403898,0.0023020489774151004,6.377607219718898e-05,0.0013431013325450642,0.002728613685876848,0.022571423317187634,0.0006955883095574273,0.008307428821174691,-0.798012428954502,False,False,-0.003936067049795053,False,False,0.005885781597414669,False,False,0.00024563110263418404,False,False
45,0.526613743,10,0.00023078054620150667,0.0023188517243039218,8.061204872821705e-05,0.0009247967172016242,0.0027740766159013615,0.02269084492975869,0.0008096930122525137,0.008177425397517646,-0.798409567333719,False,False,-0.004295322239806682,False,False,0.0056740004125792375,False,False,-1.3925573793341366e-05,False,False
46,0.540213362,10,0.00024202516161608785,0.002336087936686969,7.696793140928909e-05,0.0008184672180264395,0.002782990970963896,0.022738144187914883,0.0007556400701177712,0.006890832462077522,-0.7936071315815818,False,False,-0.004860528579585368,False,False,0.00854191542175876,False,False,-5.882736910943e-05,False,False
47,0.551834052,10,0.00022386270011283586,0.002318590853630871,7.344358094402052e-05,0.001973080815929056,0.002998145331962761,0.023024730257587195,0.0007313743916337344,0.0069068885436484265,-0.787628569240196,False,False,-0.0046367461567256305,False,False,0.00891478916528867,False,False,8.365337958319798e-05,False,False
48,0.566273147,10,0.00023406010902589982,0.002375865441863751,7.88533761220698e-05,0.0026402842066479727,0.002998574771689996,0.0232944681239075,0.0007525751388212675,0.005113989653748845,-0.7707968012129269,False,False,-0.0024921923401783888,False,False,0.007556740991717962,False,False,0.0001095494551966648,False,False
49,0.57928605,10,0.00023337256937535088,0.0023351406464575935,7.619529688303737e-05,0.0018019293344767495,0.0030202652897966375,0.02295201315589659,0.0008401014434892106,0.011238244760860668,-0.7957334625395915,False,False,-0.005217566163563685,False,False,0.004145195823077779,False,False,0.00024463666982657556,False,False
50,0.591860892,10,0.00023150368340306,0.002269558244451372,7.294458276254225e-05,0.0010462736822509611,0.003022902669513356,0.02323249658242464,0.0008045857095203829,0.007863541966889353,-0.7987433397913565,False,False,-0.0051211739709727975,False,False,0.007579194280062098,False,False,-1.9137256600536924e-05,False,False
51,0.605546625,10,0.00022953522196810197,0.0023296412135946232,8.801197482950125e-05,0.0011948119506511768,0.0030236153031674567,0.02348646652066815,0.000872615383215212,0.0070675923485145455,-0.8014991188580797,False,False,-0.005453658808267638,False,False,0.009245426509663939,False,False,-0.00026979982774982976,False,False
52,0.618659131,10,0.00026455573050865864,0.0022797496353337433,7.675704043993914e-05,0.0023036712936429222,0.00302310322863917,0.023537475805389854,0.0007419754039337687,0.008355140895530298,-0.8066059479401151,False,False,-0.0063629307964834375,False,False,0.0103430531586918,False,False,0.00012143728651043048,False,False
53,0.630689809,10,0.0002309353311633483,0.0023994966067248246,7.645918083273122e-05,0.0006993026248035057,0.003025777144913439,0.02444026631973597,0.0007342169658166472,0.0069581700860110365,-0.7949823354873947,False,False,-0.0037631188212852934,False,False,0.00815119086272095,False,False,0.00017112349571450565,False,False
54,0.646699169,10,0.00025863437607188955,0.002448698321007632,8.363051759638442e-05,0.0018228273895134581,0.00298664202640825,0.02444594372448081,0.0007381946014235764,0.007532379146035194,-0.7917194123081889,False,False,-0.004917951891320376,False,False,0.009967154889581978,False,False,8.658344234494723e-05,False,False
55,0.659703082,10,0.00023084281033946324,0.0023924762809352843,8.113318220577225e-05,0.0008771333746627735,0.0028988291991006855,0.024819324061288676,0.0008220311947382636,0.008509662263797773,-0.7951706806166385,False,False,-0.004647383577401441,False,False,0.007109579837822477,False,False,-5.743480422929255e-05,False,False
56,0.669739803,10,0.0004493481017086689,0.0026006227489442347,0.00011446343254264941,0.001715884891723471,0.002837850031679019,0.02491426008223644,0.0008070709790106131,0.0071696568001957004,-0.8043162407516629,False,False,-0.006659058031674594,False,False,0.009763888590975564,False,False,-6.970802614874249e-05,False,False
57,0.681928518,10,0.00019968628834100396,0.002360996393458926,7.41683790018013e-05,0.0006707523323677429,0.002476920993364194,0.025188570179623646,0.000758771755632256,0.008110284300998326,-0.7998292582436398,False,False,-0.005560405821796377,False,False,0.007896222898603013,False,False,-3.2471690026458574e-05,False,False
58,0.691113874,10,0.00022788349587809912,0.0024079150464797867,7.130255318893343e-05,0.002069529071037818,0.0024879222962175666,0.025392936174722026,0.0007681557196926506,0.008914827963321232,-0.7968084498672555,False,False,-0.005469650051481539,False,False,0.0076928411732053925,False,False,-2.525002371161013e-05,False,False
59,0.716529688,10,0.00019500174959297993,0.0025502061248788687,8.848462322084895e-05,0.0012190136779497089,0.0024100801123377686,0.025915218226645987,0.0008369176956010535,0.005542918463457919,-0.774541412712958,False,False,-0.0038327945155074115,False,False,0.009171249495876629,False,False,-0.00028885900695125986,False,False
60,0.732372145,10,0.00018208850566186913,0.002553163777526356,8.11192829723181e-05,0.0011392330163541345,0.0023681032062755187,0.025841563772058814,0.0007143579949561423,0.006966667158532909,-0.7686157576375774,False,False,-0.005719199629757141,False,False,0.010684884827195316,False,False,7.489583585129506e-05,False,False
61,0.740387164,10,0.00017997574911961034,0.0025179394604055256,7.574826076078968e-05,0.0008678563374002025,0.002346489428982606,0.025872038352850332,0.0006874353838602149,0.009673605392814725,-0.771378874660801,False,False,-0.00619667670066128,False,False,0.008884073743563262,False,False,0.00019119669227813185,False,False
62,0.749699342,10,0.0003113711325071176,0.0028954011468321876,6.898167806691958e-05,0.0018887010226553876,0.0024864210539213977,0.026366807548764745,0.0007210820813532121,0.008991509554219219,-0.7688311635196041,False,False,-0.006819177363920702,False,False,0.011151662973886702,False,False,0.00011789803510502902,False,False
63,0.763824649,10,0.00019818279299167434,0.00253904830870806,7.659583651582431e-05,0.0007158452582013583,0.0022364389744963906,0.02645096201240059,0.0007647876459747146,0.009402546027818379,-0.7580009464867532,False,False,-0.005846567581346304,False,False,0.008998126415093339,False,False,-7.311934915989103e-05,False,False
64,0.770397455,10,0.00011779486519472622,0.0028091978349367307,7.676576359894968e-05,0.00184069639082773,0.0022442151529248476,0.026706855976741047,0.0007672443987400858,0.009567345415185153,-0.7507270310053925,False,False,-0.00580588501203578,False,False,0.008733984017358944,False,False,-8.5042079630037e-05,False,False
65,0.781089975,10,0.00012103147621076308,0.002709868624034674,8.649017735274236e-05,0.002778082678921528,0.0021892473552407713,0.02689294928596344,0.0008306514080805626,0.007786489711897982,-0.7418248915007976,False,False,-0.00490415074554961,False,False,0.0063899940414402145,False,False,-0.00024233527250253043,False,False
66,0.818248726,10,0.00012119564098892358,0.0025777481550075584,7.815111471208985e-05,0.0022660245792839226,0.0021548629824632687,0.026468377745014694,0.0009500772588258488,0.012779994631900419,-0.7697902826528616,False,False,-0.010371112969348685,False,False,0.009424310676113726,False,False,-0.00026461428148926255,False,False
67,0.82850953,10,0.00012098008404027895,0.002576239424272596,8.938433169884523e-05,0.002638038409251263,0.0022103849732961157,0.02699865256302323,0.0009581119010891451,0.010753373693234418,-0.7674638487718666,False,False,-0.008683411076358304,False,False,0.010261377877339635,False,False,-0.0004833312648429606,False,False
68,0.836049082,10,0.00012099939854588364,0.002680545971337251,8.237247301892152e-05,0.0006278641679215843,0.002214297099702491,0.027527724482195214,0.0007710135929180795,0.010065484054460323,-0.7473214287127212,False,False,-0.00605646920822429,False,False,0.008712068593373274,False,False,-6.641165056453719e-05,False,False
69,0.843723755,10,0.00010843886462237975,0.002690694603003742,8.132063535027706e-05,0.0013672551607079408,0.002247276237642663,0.027615522291209876,0.0008081053818718163,0.010656362459272845,-0.7417022497159015,False,False,-0.007798427023383242,False,False,0.010469386832295396,False,False,-4.650732873607922e-05,False,False
70,0.850332527,10,0.00012532258912100733,0.0026135810544509644,6.482800893019176e-05,0.0031209456143295755,0.002217760641801266,0.02771033269303338,0.0008403095828478757,0.01191077117029971,-0.7466842697148681,False,False,-0.008398041030033061,False,False,0.008410754664175938,False,False,-4.710543613346583e-05,False,False
71,0.859765711,10,0.0005956564435056036,0.0030909592811871264,0.00012784295427121153,0.002823153740311686,0.0021356765446548572,0.028103376972397794,0.0010644510875214542,0.010612791321104549,-0.7428606831105056,False,False,-0.007022868154102012,False,False,0.0068425828127815155,False,False,-0.0007391409157786299,False,False
72,0.869746898,10,6.865541891391739e-05,0.002820869920443473,7.512257985827663e-05,0.0028671642006611827,0.0017282689593942674,0.02804399460598095,0.0008361524885900311,0.010020741426333689,-0.718268711642834,False,False,-0.007633663648565648,False,False,0.011398429338307911,False,False,-0.00023720590721247462,False,False
73,0.882318295,10,0.00020711007270295362,0.0028060261195248883,9.245857954270656e-05,0.0008999122711962061,0.0017048886065992271,0.028786578615119157,0.0009308511720343267,0.009305489528996303,-0.6943854169633663,False,False,-0.005572522652716225,False,False,0.00789500626590192,False,False,-0.00044574169808575206,False,False
74,0.892218514,10,6.639243566268907e-05,0.002898016065566913,9.277137935761262e-05,0.0014904740273802403,0.0017304721373170354,0.029712359592552307,0.0009450478707887092,0.01006304900233835,-0.678378106531428,False,False,-0.005487475685241904,False,False,0.007435587024188212,False,False,-0.0004491968632828738,False,False
75,0.911649965,10,6.814471247475103e-05,0.0028939047334492936,8.936314528535114e-05,0.0008383916484445237,0.001706185815081548,0.030535512246569526,0.0009550002988016315,0.013808992123561008,-0.6874441705546106,False,False,-0.009316723886494998,False,False,0.010426107523151462,False,False,-0.00030826939509858765,False,False
76,0.921562142,10,0.00016289013053735667,0.0028624751039685514,0.00010407639320471439,0.0016248491952984335,0.001696379711546353,0.03213845537335654,0.0009788178778127236,0.014755315713884973,-0.6924488113975322,False,False,-0.009859877525439851,False,False,0.010948908768169872,False,False,-0.00030770752329058003,False,False
77,0.942068675,10,4.438170815147583e-05,0.0028489690231642472,7.925595213917149e-05,0.0016730586255905026,0.00167881070521881,0.03432907291224882,0.0009560928112117333,0.01635308694787801,-0.6877494163246941,False,False,-0.008831389140397251,False,False,0.01005776495701242,False,False,-0.00023214442301986278,False,False
78,0.952458225,10,0.00015380014263340785,0.002963039056249143,9.808584476449725e-05,0.001451786119480589,0.001759323925070492,0.03688877214973283,0.0010857310657617063,0.01713551676094068,-0.6774202177955028,False,False,-0.00893935528946192,False,False,0.01264614671969511,False,False,-0.0005326314288069719,False,False
79,0.97455225,10,3.40914977345341e-05,0.0028569603711452282,9.549202337322466e-05,0.0016312412968871798,0.0017840697788267133,0.03959846933912839,0.001160555504781545,0.020836339078423607,-0.6805264403793071,False,False,-0.009420346136398552,False,False,0.010255173701008088,False,False,-0.0004637550635385027,False,False
80,1.014312735,10,3.636707240654083e-05,0.0028037059483110183,8.333185034065147e-05,0.0007760121992428317,0.0019361625139431508,0.04283152597476831,0.0011386628978922572,0.023765955800009737,-0.6819484088671701,False,False,-0.009122966981506324,False,False,0.0087891702408445,False,False,-8.555751285097793e-05,False,False
81,1.021787327,10,3.420188530079634e-05,0.003057110219038657,8.784254973358609e-05,0.0014538871903680877,0.0021660621870487366,0.046429598820897276,0.0013210310815042583,0.02709701734596865,-0.6224174693413457,False,False,-0.012893016734045769,False,False,0.008685950211707691,False,False,-0.0007600034047802799,False,False
